id	NZb0XKHgtjo
published	2013-01-17 13:59:12
published_unix	1358427552
title	NA LATA
description	Pra Coca, quanto mais Maradona melhor. Pra Fanta, quanto mais David Brazil melhor. Pra Caninha, quanto mais Lula melhor. Pra latinha, que é bom, ninguém perguntou. Elenco: Fábio Porchat Letícia Lima NA LATA 2: http://youtu.be/s3knSS4yVrY MAKING OF: http://youtu.be/cts4gs2Xl6o BAIXE NOSSOS GAMES: Google Play: http://goo.gl/zRMB77 Apple Store: http://goo.gl/CpS3yc CAMISAS: http://loja.portadosfundos.com.br LIVRO : http://goo.gl/F8idv7 APP PARA ANDROID: http://goo.gl/BGUHjr APP PARA IPHONE - http://goo.gl/knGlP APP PARA WINDOWS PHONE: http://goo.gl/zAxmXK Esse é o canal do PORTA DOS FUNDOS. Lançamos vídeos toda segunda, quinta e sábado às 11:00h da manhã.
channelId	UCEWHPFNilsT0IfQfutVzsag
channelTitle	Porta dos Fundos
duration	PT1M39S
dimension	2d
definition	hd
caption	true
allowedIn	
blockedIn	
licensedContent	1
viewCount	22068980
likeCount	214346
dislikeCount	4076
favoriteCount	0
commentCount	10674
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	
